DATE,XCoord,FLOOD
28/6/2012,645288.1345,No
28/6/2012,649909.3578,No
28/6/2012,656802.8774,No
28/6/2012,663027.3199,No
28/6/2012,643352.5525,Yes
28/6/2012,646485.0524,No
28/6/2012,649123.5847,No
28/6/2012,652241.7446,No
28/6/2012,659818.7147,No
28/6/2012,660599.9589,No
28/6/2012,664727.0082,No
28/6/2012,664787.995,No
28/6/2012,656776.2394,No
28/6/2012,656844.6069,No
28/6/2012,657654.0332,Yes
28/6/2012,659746.7522,No
28/6/2012,661104.5307,Yes
28/6/2012,661452.6951,No
28/6/2012,662005.2336,No
28/6/2012,665918.5061,No
28/6/2012,667166.7856,No
28/6/2012,640050.3567,No
28/6/2012,640885.2626,Yes
28/6/2012,642962.3122,Yes
28/6/2012,643498.8888,No
28/6/2012,643788.3167,No
28/6/2012,645045.7736,No
28/6/2012,657752.3577,Yes
28/6/2012,658863.0473,Yes
28/6/2012,663784.2321,Yes
28/6/2012,665450.1775,Yes
28/6/2012,667316.0266,Yes
28/6/2012,672512.4877,Yes
28/6/2012,672569.4902,Yes
28/6/2012,673106.1027,Yes
28/6/2012,673344.2405,Yes
28/6/2012,674512.7097,No
28/6/2012,674948.2414,No
28/6/2012,675590.8566,No
28/6/2012,676242.6392,No
28/6/2012,676652.1999,No
28/6/2012,707954.171,No
28/6/2012,713314.0333,No
28/6/2012,713349.0637,No
28/6/2012,715093.2035,No
28/6/2012,715832.3451,No
28/6/2012,716281.0083,No
28/6/2012,716756.0953,No
28/6/2012,718376.0221,No
28/6/2012,718745.9857,No
28/6/2012,718798.2803,No
28/6/2012,719320.9992,No
28/6/2012,720694.8645,No
28/6/2012,721485.9455,No
28/6/2012,722151.1168,No
28/6/2012,723043.1882,No
28/6/2012,724317.6125,No
28/6/2012,724456.9539,No
28/6/2012,725508.8584,No
28/6/2012,726565.6344,No
28/6/2012,726923.0725,No
28/6/2012,727035.2497,No
28/6/2012,727199.9484,No
28/6/2012,728431.4427,No
28/6/2012,730288.6155,No
28/6/2012,730469.1016,No
28/6/2012,731421.2817,No
28/6/2012,731646.3699,No
28/6/2012,735052.1953,No
28/6/2012,736565.4117,No
28/6/2012,738607.1391,No
28/6/2012,738862.4073,No
28/6/2012,739308.9687,No
28/6/2012,739869.9444,No
28/6/2012,740826.9936,No
28/6/2012,742295.2919,No
28/6/2012,744576.0152,No
