DATE,XCoord,YCoord,PROVINCE,DISTRICT,TEXTURE,SOIL,MIN,MAX,RANGE,MEAN,LU_DES_TH,LU_DES_EN,BHUMIBOL,B_Drainage_water,B-Accumulated_drainage,SIRIKIT,S_Drainage_water,S-Accumulated_drainage,KHWAENOI,K_Drainage_water,K-Accumulated_drainage,PASAK,P_Drainage_water,P-Accumulated_drainage,RAINFALL,FLOOD
28/6/2012,593589.5603,1645082.6,Suphanburi,Doem Bang Nang Buat,Sandy Loam,10,-12,11,23,-0.696214,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,594107.4615,1643094.7,Suphanburi,Doem Bang Nang Buat,Loamy Sand,11,-17,14,31,-0.653386,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,594177.9193,1648393.884,Suphanburi,Doem Bang Nang Buat,Sandy Loam,10,-23,87,110,13.598235,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,597079.5047,1645457.746,Suphanburi,Doem Bang Nang Buat,Sandy Clay Loam,6,-19,15,34,-5.475572,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,599098.1429,1645268.051,Suphanburi,Doem Bang Nang Buat,Sandy Clay Loam,6,-16,-2,14,-9.285953,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,607667.3504,1648078.14,Suphanburi,Doem Bang Nang Buat,Sandy Loam,10,-7,9,16,-0.144781,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,607904.1108,1646279.398,Suphanburi,Doem Bang Nang Buat,Sandy Loam,10,-25,-3,22,-14.522051,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,608282.8309,1643479.113,Suphanburi,Doem Bang Nang Buat,Sandy Clay,2,-31,-1,30,-17.673333,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,608364.761,1647824.698,Suphanburi,Doem Bang Nang Buat,Water,0,-15,38,53,8.296605,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,611667.7373,1644868.701,Suphanburi,Doem Bang Nang Buat,Sandy Clay Loam,6,-28,-12,16,-20.305049,ไม้ผล,Orchard,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,613591.0858,1642394.489,Suphanburi,Doem Bang Nang Buat,Loamy Sand,11,-27,-2,25,-15.755071,พืชไร่,Field crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,616485.1334,1642594.281,Suphanburi,Doem Bang Nang Buat,Water,0,-24,125,149,13.313304,สถานที่ราชการและสถาบันต่าง ๆ,Institutional land,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,618706.9704,1643426.583,Suphanburi,Doem Bang Nang Buat,Sandy Loam,10,-25,-7,18,-15.302307,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,620206.7952,1644314.724,Suphanburi,Doem Bang Nang Buat,Sandy Clay Loam,6,-50,10,60,-21.10492,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,Yes
28/6/2012,621904.1474,1643907.334,Suphanburi,Doem Bang Nang Buat,Sandy Loam,10,-33,-7,26,-18.33883,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,623205.868,1645508.963,Suphanburi,Doem Bang Nang Buat,Sandy Clay Loam,6,-55,-7,48,-21.568853,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,625917.8652,1652560.37,Suphanburi,Doem Bang Nang Buat,Sandy Clay Loam,6,-26,-11,15,-19.456553,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
