DATE,XCoord,YCoord,PROVINCE,DISTRICT,TEXTURE
13/2/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
13/2/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
13/2/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
13/2/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
13/2/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
14/2/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
14/2/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
14/2/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
14/2/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
14/2/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
15/2/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
15/2/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
15/2/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
15/2/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
15/2/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
16/2/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
16/2/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
16/2/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
16/2/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
16/2/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
17/2/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
17/2/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
17/2/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
17/2/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
17/2/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
18/2/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
18/2/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
18/2/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
18/2/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
18/2/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
19/2/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
19/2/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
19/2/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
19/2/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
19/2/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
20/2/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
20/2/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
20/2/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
20/2/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
20/2/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
21/2/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
21/2/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
21/2/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
21/2/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
21/2/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
22/2/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
22/2/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
22/2/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
22/2/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
22/2/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
23/2/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
23/2/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
23/2/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
23/2/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
23/2/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
24/2/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
24/2/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
24/2/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
24/2/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
24/2/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
25/2/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
25/2/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
25/2/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
25/2/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
25/2/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
26/2/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
26/2/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
26/2/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
26/2/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
26/2/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
27/2/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
